"Subbasin","<20","20-40","40-60","60-80",">80"
3139,48,50,35,13,6
3140,47,42,26,17,20
3141,31,29,33,23,36
3142,42,51,28,17,14
3144,51,48,30,9,14
3145,32,39,29,24,28
3146,45,34,31,16,26
3147,126,19,1,5,1
3148,60,48,37,4,3
3149,56,32,27,23,14
3150,28,26,20,25,53
3151,35,38,29,19,31
3152,92,43,12,3,2
3154,93,43,13,3,0
3155,38,34,44,23,13
3156,68,46,19,7,12
3157,61,51,31,4,5
3158,12,12,8,21,99
3159,36,24,24,30,38
3160,36,36,29,22,29
3161,19,11,15,9,98
3162,16,13,13,12,98
3163,16,9,13,19,95
3164,13,6,22,19,92
3165,7,11,12,27,95
3166,5,11,14,21,101
3167,21,17,15,23,76
3168,19,7,16,16,94
3171,104,39,4,4,1
3172,10,24,15,22,81
3173,48,51,31,18,4
3174,55,50,35,8,4
3176,88,34,23,3,4
3177,16,11,13,16,96
3178,18,17,18,20,79
3182,13,16,14,15,94
3183,19,24,21,18,70
3184,33,26,26,13,54
3185,11,21,13,20,87
0,18,22,24,13,75
3218,25,29,32,18,48
